lifelogger,acc,mae,f1
Client_id_42.csv,0.3111111111111111,2.8222222222222224,0.2613400488400488
Client_id_37.csv,0.6666666666666666,0.9629629629629629,0.5333333333333333
Client_id_57.csv,0.3829787234042553,2.4468085106382977,0.24040107605771582
Client_id_19.csv,0.23214285714285715,4.071428571428571,0.1682620540379161
Client_id_53.csv,0.3673469387755102,2.061224489795918,0.34347013530687004
Client_id_31.csv,0.3333333333333333,1.962962962962963,0.31922341696535245
Client_id_17.csv,0.2641509433962264,1.528301886792453,0.1777593475706683
Client_id_47.csv,0.36,2.5,0.3267424242424243
Client_id_28.csv,0.23636363636363636,2.1636363636363636,0.19109382596013616
Client_id_62.csv,0.20512820512820512,3.3846153846153846,0.1497953027364792
Client_id_41.csv,0.17307692307692307,2.9038461538461537,0.13717683282900672
Client_id_32.csv,0.37037037037037035,2.925925925925926,0.23467755460092624
Client_id_46.csv,0.35185185185185186,2.537037037037037,0.26285248028543046
Client_id_39.csv,0.2692307692307692,2.9038461538461537,0.19041656018400205
Client_id_51.csv,0.41818181818181815,1.7818181818181817,0.36428455679792576
Client_id_23.csv,0.25925925925925924,3.111111111111111,0.21290244492858873
Client_id_48.csv,0.38461538461538464,1.5961538461538463,0.3543664668664669
Client_id_49.csv,0.2545454545454545,2.963636363636364,0.174894745049119
Client_id_25.csv,0.37037037037037035,1.7962962962962963,0.3357876967212005
Client_id_38.csv,0.20754716981132076,1.6981132075471699,0.10050798258345428
Client_id_61.csv,0.2,2.5,0.1307692307692308
Client_id_35.csv,0.5,1.75,0.39015151515151514
Client_id_60.csv,0.38636363636363635,1.6590909090909092,0.2809007994766509
Client_id_44.csv,0.5555555555555556,2.0185185185185186,0.48181315644002215
Client_id_26.csv,0.4166666666666667,2.25,0.3055555555555556
Client_id_43.csv,0.2222222222222222,2.740740740740741,0.1335525651128488
Client_id_29.csv,0.32727272727272727,2.1272727272727274,0.2732782369146005
Client_id_34.csv,0.25925925925925924,2.111111111111111,0.20390946502057614
Client_id_54.csv,0.46153846153846156,3.019230769230769,0.4043584051908136
Client_id_18.csv,0.23636363636363636,2.0545454545454547,0.12584670231729056
Client_id_36.csv,0.2857142857142857,3.125,0.27455296896086373
Client_id_27.csv,0.49056603773584906,2.7358490566037736,0.43320891689210006
Client_id_55.csv,0.24074074074074073,1.8333333333333333,0.18413835661897676
Client_id_16.csv,0.4727272727272727,1.4545454545454546,0.42046406338426706
Client_id_30.csv,0.3148148148148148,2.185185185185185,0.2286008230452675
Client_id_45.csv,0.2653061224489796,2.7346938775510203,0.20601516519883867
Client_id_52.csv,0.33962264150943394,2.3207547169811322,0.28046417016369285
Client_id_33.csv,0.3148148148148148,3.425925925925926,0.24603174603174602
Client_id_22.csv,0.37037037037037035,2.111111111111111,0.29257235377453955
Client_id_56.csv,0.8431372549019608,1.0196078431372548,0.771380892782645
