GR,apriori_g,dynamic_g,apriori_p,dynamic_p
0,0.033403321368471295,0.033403321368471295,0.0794475036300894,0.0794475036300894
1,0.1296992183116516,0.11212774690483171,0.23259449901010001,0.24057265299322145
2,0.14063146071182075,0.11318278300841672,0.2545773652137896,0.2585547135753466
3,0.1482342668327833,0.11073406387779293,0.2582512469487373,0.26010703323037265
4,0.14784182583575095,0.10995237930189493,0.2632889821719011,0.26686046575370287
5,0.14870085973683334,0.1189068495486226,0.26373945630649714,0.2691329164826098
6,0.14771965422998456,0.12700684336932813,0.26358884459654014,0.27955609444505414
7,0.14690530238738236,0.13552663871866522,0.2656775119793992,0.27757451573962905
8,0.14846400375521607,0.1543094794864334,0.2623234953211742,0.27888419472306225
9,0.14880662622252575,0.15103664960587865,0.26264140204922465,0.28160471818606037
10,0.149242765952327,0.15449550965658046,0.26223838841100267,0.2786876840624257
11,0.1507301354106037,0.1490501733292173,0.2624898198338907,0.2815182677820403
12,0.15148446291890738,0.15210531095692417,0.2634162655251371,0.2713877168221896
13,0.15109190171075046,0.15368261441866926,0.2640016137950813,0.2818501853393309
14,0.1516217993566682,0.15538159265837967,0.262370701838677,0.27228377222673755
15,0.15180767953487292,0.15567882829774213,0.2698695430967812,0.27654500682086897
16,0.15303224538756321,0.15091584343540082,0.26422324228430016,0.26986825302235684
17,0.15307019984135803,0.15262610643808452,0.2614005939271522,0.267315925546794
18,0.1535326380791637,0.15543861090422442,0.25918957939932913,0.27109075881104894
19,0.15425263977089798,0.15434247035331614,0.2642238999804264,0.2722851935882656
20,0.15470269186934849,0.15553061421511216,0.255928030665313,0.27109306313670034
21,0.15587688141248318,0.15271711993578824,0.2601597630991497,0.2700489264579951
22,0.1570524438942584,0.15366367771375536,0.25801178533858776,0.2707629469213922
23,0.15501119136726027,0.1563511445280411,0.2599634986022703,0.27303092451649225
24,0.15525288116411728,0.1539498492277343,0.25548082886201584,0.2755301757615261
25,0.15443293553708287,0.15621094932706328,0.252340235689708,0.26835020730455866
26,0.154712957095834,0.15466801129516827,0.2557344938069931,0.2686776251545834
27,0.15957602165183601,0.15492705095163964,0.24977074258916934,0.26269615445001626
28,0.15815375594507758,0.15453131116875235,0.25361135299960896,0.26983618313064217
29,0.15639254868091876,0.16097800737056828,0.2545690410107244,0.26997783202894104
30,0.1564957968411502,0.1566160233460719,0.25051398798525787,0.2602791558514565
31,0.15455366711072327,0.15978206349244856,0.2573751020616696,0.26441521963047415
32,0.15685289214519618,0.16401849747601455,0.2540402195512278,0.2681616298755821
33,0.1603628837109247,0.1625549378667962,0.25298908769184847,0.2719138662951991
34,0.16050120350919198,0.15887110669181603,0.2484883482793024,0.26570888245978835
35,0.15947806030261258,0.15785979648892995,0.2519393061805442,0.26175413487758775
36,0.1590306402211946,0.16149184563340374,0.24722448065325595,0.2624465329738335
37,0.15851966118754815,0.15916646310167124,0.24705045788539406,0.2622587057370895
38,0.15864308547875067,0.15851986017837782,0.24668580200842533,0.26095313317851615
39,0.16027926205193535,0.15519500604323122,0.245539182682305,0.25115992198399406
40,0.16268986441884303,0.15716624559267728,0.24477700307741224,0.2571216945836807
41,0.1620587704429336,0.15664731756777578,0.24271155843952918,0.24882090164437906
42,0.1620198393402871,0.15604310328385057,0.24140958071028953,0.25919515986954883
43,0.16206157072647795,0.1527731182329691,0.23906561675866,0.24953682735497434
44,0.16291415723652478,0.15878293807070387,0.24438975437744356,0.2555911409915525
45,0.16535190863317278,0.1563837223675059,0.23915578590395872,0.2453500840509612
46,0.16548364857027137,0.1600830807048962,0.24129521186772862,0.24744702467065008
47,0.16283102732351112,0.15964085404707265,0.24563207150517075,0.24756860367896236
48,0.16752670150279805,0.16049412049646652,0.24883421834538735,0.24863614573915227
49,0.16385111085614398,0.15797264459049873,0.24350351790578353,0.24978104848436428
